Product ID,SKU,Product Name,Category,Product Type,Size,EAN / Barcode,Units / Carton,Retail Price Brutto EUR,Retail Price Netto EUR,Dealer Basic Netto EUR,Dealer Plus Netto EUR,Authorizer Netto EUR,Dealer Price Netto EUR,VAT Rate,B2C Price Includes VAT,B2B Price Excludes VAT,Commission Base,Stand/Affiliate/Sales Rep Commission %,Status,Notes
P021,HMT-021-SHAGELGOLSAN,Shaving Gel Golden Sands 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108197448,120,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P022,HMT-022-SHAGELINF500,Shaving Gel Infinite 500 Ml,Shaving,Shaving Gel,500 ML,6291108190937,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P023,HMT-023-SHAGELINF110,Shaving Gel Infinite 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108190272,144,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P024,HMT-024-SHAGELJACOF,Shaving Gel Jack Of Spades 500 Ml,Shaving,Shaving Gel,500 ML,6291109356554,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P025,HMT-025-SHAGELJACOF,Shaving Gel Jack Of Spades 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108199022,120,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P026,HMT-026-SHAGELMONORC,Shaving Gel Monarch Orchid 500 Ml,Shaving,Shaving Gel,500 ML,6291108194805,240,8.50,7.14,4.1,3.85,3.61,4.1,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P027,HMT-027-SHAGELMONORC,Shaving Gel Monarch Orchid 1100 Ml,Shaving,Shaving Gel,1100 ML,6291108193204,132,13.50,11.34,6.78,6.38,5.98,6.78,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P028,HMT-028-AFTSHABALDEE,After Shave Balm Deep Sky 500 Ml,After Shave,Balm,500 ML,6291108190814,168,14.99,12.60,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P029,HMT-029-AFTSHABALEXO,After Shave Balm Exotic 500 Ml,After Shave,Balm,500 ML,6291108190821,144,14.99,12.60,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
P030,HMT-030-AFTSHABALINF,After Shave Balm Infinite 500 Ml,After Shave,Balm,500 ML,6291108190845,168,14.99,12.60,4.64,4.37,4.09,4.64,19%,YES,YES,NETTO selling price,25%,Needs Review,"Bitte Retail Price, finale Inhaltsstoffe, Gewicht und Bilder prüfen."
